[2024-05-09T23:20:17.771+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_82.json
[2024-05-09T23:20:17.771+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_82.json
[2024-05-09T23:20:17.773+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_83.json
[2024-05-09T23:20:17.774+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_83.json
[2024-05-09T23:20:17.796+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_84.json
[2024-05-09T23:20:17.797+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_84.json
[2024-05-09T23:20:17.801+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_85.json
[2024-05-09T23:20:17.802+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_85.json
[2024-05-09T23:20:17.821+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_86.json
[2024-05-09T23:20:17.822+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_86.json
[2024-05-09T23:20:17.827+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_87.json
[2024-05-09T23:20:17.828+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_87.json
[2024-05-09T23:20:17.831+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_88.json
[2024-05-09T23:20:17.832+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_88.json
[2024-05-09T23:20:17.835+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_89.json
[2024-05-09T23:20:17.835+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_89.json
[2024-05-09T23:20:17.838+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_9.json
[2024-05-09T23:20:17.838+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_9.json
[2024-05-09T23:20:17.841+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_90.json
[2024-05-09T23:20:17.842+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_90.json
[2024-05-09T23:20:17.845+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_91.json
[2024-05-09T23:20:17.845+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_91.json
[2024-05-09T23:20:17.848+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_92.json
[2024-05-09T23:20:17.848+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_92.json
[2024-05-09T23:20:17.851+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_93.json
[2024-05-09T23:20:17.851+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_93.json
[2024-05-09T23:20:17.854+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_94.json
[2024-05-09T23:20:17.854+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_94.json
[2024-05-09T23:20:17.857+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_95.json
